state,Count,Bad_rate
CA,720387.0,0.0112967057984111
TX,422410.0,0.013093913496366
FL,403710.0,0.0154888409997275
IL,238517.0,0.0103598485642532
OH,212575.0,0.0088345289897683
AZ,200076.0,0.012775145444731
PA,189730.0,0.0104358825699678
MI,187519.0,0.0123454156645459
GA,183486.0,0.0134397174716327
NY,182760.0,0.0127216021011162
NC,179687.0,0.008754111315788
VA,174962.0,0.0087904802185617
WA,171230.0,0.0094200782573147
NJ,170090.0,0.011041213475219
CO,161511.0,0.0094606559305558
MA,136925.0,0.0090122329742559
MD,134558.0,0.0114374470488562
IN,127192.0,0.0109519466633121
MN,125877.0,0.0103752075438721
TN,115164.0,0.0102983571254906
