state,n,bad_rate
CA,1323571,0.019299304684070595
TX,835993,0.023209524481664322
FL,761278,0.028550673998197766
IL,476869,0.01863614535648155
OH,421842,0.01451017205494
MI,381278,0.017777055062185597
NY,363920,0.0287783029237195
AZ,356782,0.017150528894394897
PA,356012,0.016002269586418434
GA,348512,0.022607542925351207
NC,339745,0.014716920042973406
WA,329962,0.015392681581515447
VA,323087,0.014804062063778487
NJ,317628,0.02368493961489541
CO,308545,0.015317052617932555
IN,259110,0.0149087260236965
MA,256743,0.016549623553514605
MN,253339,0.01568649122322264
MD,240937,0.019503023611981557
TN,218913,0.01582820572556221
MO,218600,0.014469350411710888
OR,194827,0.016763590262129993
WI,189485,0.011810961289811859
UT,184525,0.01626879826581764
SC,174421,0.016374175127994908
