vintage_q,n,bad_rate
2017-01-01,86328,0.008548790658882402
2017-04-01,247238,0.009323000509630397
2017-07-01,315793,0.008695569566139845
2017-10-01,351737,0.006800535627471662
2018-01-01,256783,0.0066047986042689745
2018-04-01,243446,0.016808655718311246
2018-07-01,218333,0.05531000810688261
2018-10-01,174462,0.07099540301039768
2019-01-01,116370,0.08546017014694508
2019-04-01,144265,0.08388729074966209
2019-07-01,212710,0.07620234121573974
2019-10-01,295556,0.06425854998714288
2020-01-01,246544,0.06212278538516451
2020-04-01,390994,0.02984956290889374
2020-07-01,755351,0.010967086824535878
2020-10-01,1053211,0.007729695189283059
2021-01-01,1057700,0.007088021178027796
2021-04-01,1037927,0.007059263320060081
2021-07-01,871337,0.010477002583386222
2021-10-01,960327,0.011322185047384902
2022-01-01,686097,0.013059377901375461
2022-04-01,505959,0.015394528015115849
2022-07-01,362601,0.019928240683285484
2022-10-01,269463,0.021431513788534976
2023-01-01,163120,0.02281142717018146
