feature,gain,split
int_fico_gap_x_ltv,392165.4505004883,190
orig_rate,293589.45808029175,414
orig_upb,127662.84259796143,296
rate_spread_vintage,116127.92860412598,391
dti,78272.91960906982,140
fico,71156.53063201904,160
state_te,58350.9680480957,271
int_dti_x_ltv,53109.32238006592,128
fico_gap,23917.5408744812,32
channel_te,18541.828643798828,89
dti_43,10174.240077972412,27
loan_term,6040.982032775879,37
cltv,4319.086669921875,41
ltv,3724.19091796875,23
purpose_te,1226.6096954345703,15
msa,1092.411190032959,12
num_units,174.13800048828125,2
ltv_80,0.0,0
ltv_90,0.0,0
