threshold,metric,value
0.01,f1,0.022206
0.015,f1,0.022206
0.02,f1,0.022206
0.025,f1,0.022206
0.03,f1,0.022206
0.035,f1,0.022206
0.04,f1,0.025564
0.01,ks,0.0
0.015,ks,0.0
0.02,ks,0.0
0.025,ks,0.0
0.03,ks,0.0
0.035,ks,0.0
0.04,ks,0.13136
0.01,precision,0.011228
0.015,precision,0.011228
0.02,precision,0.011228
0.025,precision,0.011228
0.03,precision,0.011228
0.035,precision,0.011228
0.04,precision,0.012952
0.01,recall,1.0
0.015,recall,1.0
0.02,recall,1.0
0.025,recall,1.0
0.03,recall,1.0
0.035,recall,1.0
0.04,recall,0.975951
