threshold,recall,precision,f1,ks,approve_rate
0.01,1.0,0.0112278534780421,0.0222063770087519,0.3409895446902526,0.0
0.015,1.0,0.0112278534780421,0.0222063770087519,0.3409895446902526,0.0
0.0199999999999999,1.0,0.0112278534780421,0.0222063770087519,0.3409895446902526,0.0
0.0249999999999999,1.0,0.0112278534780421,0.0222063770087519,0.3409895446902526,0.0
0.03,1.0,0.0112278534780421,0.0222063770087519,0.3409895446902526,0.0
0.0349999999999999,1.0,0.0112278534780421,0.0222063770087519,0.3409895446902526,0.0
0.0399999999999999,0.9759508176412288,0.0129515140754185,0.02556377985206,0.3409895446902526,0.1539342258795276
0.045,0.9448556739345888,0.0147082114077287,0.028965527390736,0.3409895446902526,0.2787225604290843
0.0499999999999999,0.8981045589692765,0.0172472091050133,0.0338444686883517,0.3409895446902526,0.4153380796468901
0.0549999999999999,0.8848178889990089,0.0177067609407534,0.0347187389012659,0.3409895446902526,0.4389371582034391
0.0599999999999999,0.8757433102081269,0.0181622041038385,0.0355863757140227,0.3409895446902526,0.4586165029764
0.0649999999999999,0.544273414271556,0.027897499884908,0.0530745871078902,0.3409895446902526,0.7809473188405419
0.0699999999999999,0.5418421704658077,0.0280788873088886,0.0533909917388159,0.3409895446902526,0.7833345591194926
0.0749999999999999,0.4656838453914767,0.0338308435323486,0.0630791352419428,0.3409895446902526,0.8454478387999049
0.0799999999999999,0.2443012884043607,0.0375148325791209,0.0650418570901437,0.3409895446902526,0.9268828118873786
0.0849999999999999,0.2321140981169474,0.0377533851857822,0.0649436741767764,0.3409895446902526,0.9309692873627012
0.0899999999999999,0.1840621902874132,0.0392132281137005,0.0646526402819782,0.3409895446902526,0.9472978022262712
0.0949999999999999,0.1755296085232904,0.0402254184898522,0.0654515638217708,0.3409895446902526,0.9510055880200528
0.0999999999999999,0.130869053518335,0.0361271182093329,0.0566231155778894,0.3409895446902526,0.959327545883958
0.1049999999999999,0.0930066897918731,0.0367130622948414,0.0526451884348881,0.3409895446902526,0.9715560233827838
0.1099999999999999,0.0586131070366699,0.037300562711263,0.0455889526585525,0.3409895446902526,0.9823568512144236
0.1149999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1199999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1249999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1299999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1349999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1399999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.145,0.0,0.0,0.0,0.3409895446902526,1.0
0.15,0.0,0.0,0.0,0.3409895446902526,1.0
0.155,0.0,0.0,0.0,0.3409895446902526,1.0
0.1599999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1649999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1699999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.175,0.0,0.0,0.0,0.3409895446902526,1.0
0.18,0.0,0.0,0.0,0.3409895446902526,1.0
0.1849999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1899999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1949999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.1999999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.205,0.0,0.0,0.0,0.3409895446902526,1.0
0.2099999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.2149999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.2199999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.2249999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.2299999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.235,0.0,0.0,0.0,0.3409895446902526,1.0
0.2399999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.2449999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
0.2499999999999999,0.0,0.0,0.0,0.3409895446902526,1.0
